id,titolo,ente,fonte,tipo_agevolazione,beneficiari,settore,ambito,dimensione,obiettivo,dotazione,data_apertura,data_scadenza,stato,url
INC1529,Sostegno all'internazionalizzazione delle MPMI fiorentine 2024 - CCIAA Firenze,"Camera di Commercio, Industria, Artigianato e Agricoltura di Firenze",Stato,fondo_perduto,impresa,tutti,Toscana,media;micro;piccola,internazionalizzazione,349574,2024-05-10,2024-07-31,scaduto,https://www.fi.camcom.it/intervento-della-camera-di-commercio-di-firenze-sostegno-dell%E2%80%99internazionalizzazione-delle-mpmi-della-citt%C3%A0-metropolitana-di-firenze-%E2%80%93-anno-2024
INC153,"Contributi per wedding, intrattenimento, cerimonie e HoReCa",Agenzia delle Entrate,Stato,fondo_perduto,impresa,ristorazione;alberghiero;commercio;altri servizi,nazionale,piccola;media;grande,liquidita,40000000,2022-11-21,2022-12-05,scaduto,https://www.mise.gov.it/index.php/it/incentivi/impresa/wedding-intrattenimento-e-horeca
INC1530,FVG - Anticipazione finanziaria alle imprese del valore commerciale dei prodotti agricoli,"Regione Autonoma Friuli-Venezia Giulia - Direzione centrale risorse agroalimentari, forestali e ittiche - Servizio sviluppo rurale",Stato,finanziamento_agevolato,impresa,"agricoltura, silvicoltura e pesca",Friuli-Venezia Giulia,grande;media;micro;piccola,investimenti,5500000,2024-03-07,2030-12-31,aperto,https://www.regione.fvg.it/asp/delibere/layout2008_2.asp?pag=1&cerca=true&anno=2024&num=294&tx_dataDel=&key=&uf=
INC1531,FVG - Finanziamenti per il rafforzamento della struttura finanziaria delle imprese di trasformazione e commercializzazione di prodotti agricoli,"Regione Autonoma Friuli-Venezia Giulia - Direzione centrale risorse agroalimentari, forestali e ittiche - Servizio sviluppo rurale",Stato,finanziamento_agevolato,terzo_settore;impresa,"agricoltura, silvicoltura e pesca",Friuli-Venezia Giulia,grande;media;micro;piccola,investimenti,3000000,2024-03-07,2030-12-31,aperto,https://www.regione.fvg.it/asp/delibere/layout2008_2.asp?pag=1&cerca=true&anno=2024&num=295&tx_dataDel=&key=&uf=
INC1532,Avviso pubblico Fondo Comuni marginali - Comune di Caramanico Terme,COMUNE DI CARAMANICO TERME,Stato,fondo_perduto,impresa;startup,tutti,Abruzzo,micro;piccola,investimenti;startup,76194,2024-01-01,2026-12-31,aperto,https://www.comune.caramanicoterme.pe.it/it
INC1533,Contributi per l'attivazione di Percorsi per le Competenze Trasversali e l'Orientamento (PCTO) 2024 - CCIAA Sondrio,"Camera di Commercio, Industria, Artigianato e Agricoltura di Sondrio",Stato,fondo_perduto,impresa,tutti,Lombardia,media;micro;piccola,giovani,35000,2024-03-13,2025-01-31,scaduto,https://www.so.camcom.it/bando/pcto-2024
INC1534,IMEX Francoforte 2024 - Tuscany Together,Regione Toscana - Giunta,Stato,fondo_perduto,impresa,turismo,Toscana,grande;media;micro;piccola,internazionalizzazione,22000,2024-05-14,2024-05-16,scaduto,https://www.toscanapromozione.it/eventi/
INC1535,Modello inclusivo nelle imprese lombarde,UNIONCAMERE LOMBARDIA,Stato,fondo_perduto,impresa,tutti,Lombardia,grande;media;micro;piccola,inclusione,2000000,2024-04-15,2025-12-31,scaduto,https://www.unioncamerelombardia.it/bandi-e-incentivi-alle-imprese/dettaglio-bando/bando-modello-lavoro-inclusivo-nelle-imprese-lombarde
INC1536,Bando servizi per l'internazionalizzazione - CCIAA TNO 2024,"Camera di commercio, industria, artigianato e agricoltura della Toscana Nord Ovest",Stato,fondo_perduto,impresa,tutti,Toscana,media;micro;piccola,internazionalizzazione,100000,2024-03-11,2024-07-10,scaduto,https://tno.camcom.it/sites/default/files/documenti/2024-03/Bando-servizi-internazionalizzazione-2024.pdf
INC1537,Contributi a Fondo perduto per i comuni delle aree interne 2021-2023 Comune di Arlena di Castro,COMUNE DI ARLENA DI CASTRO,Stato,fondo_perduto,impresa,tutti,Lazio,micro;piccola,investimenti,13582,2023-04-06,2023-04-26,scaduto,http://www.comune.arlenadicastro.vt.it
INC1538,"Avviso pubblico per la concessione di un contributo a fondo perduto per il sostegno alle attività economiche, artigianli e commerciali del Comune di Cortiglione - 2021",AREA AMMINISTRATIVA,Stato,fondo_perduto,impresa,tutti,Piemonte,micro;piccola,liquidita,12645,2023-06-14,2023-07-14,scaduto,http://www.comune.cortiglione.at.it/c005048/zf/index.php/trasparenza/index/index/categoria/183
INC1539,Contributi a fondo perduto per le spese di gestione sostenute dalle attività economiche e commerciali e artigianali operanti nel Comune di Olivadi - 2021,Comune di Olivadi,Stato,fondo_perduto,impresa,tutti,Calabria,grande;media;micro;piccola,crisi,12417,2020-01-01,2022-12-31,scaduto,https://comune.olivadi.cz.it/
INC154,KDT JU Calls 2021,Ministero delle Imprese e del Made in Italy - Direzione generale per gli incentivi alle imprese,Stato,fondo_perduto,impresa;ricerca,tutti,nazionale,grande;media;micro;piccola,ricerca_sviluppo;investimenti,10000000,2022-04-28,2022-05-16,scaduto,https://www.mimit.gov.it/index.php/it/incentivi/elettronica
